source_file,period,rows,Meter 1 kWh_mean,Meter 1 kWh_median,Outdoor Air Temperature (F)_mean,Outdoor Air Temperature (F)_median
Major_Telecom_E 511 Post 2024.xlsx,post,28736,,,,
Major_Telecom_E 511 Post v2 2023.xlsx,post,28471,5052.939595380296,5057.4,82.26387727649443,80.24
Major_Telecom_E 512 Post 2024.xlsx,post,28735,,,,
Major_Telecom_E 512 Post v2 2023.xlsx,post,28472,,,,
Major_Telecom_E 513 Post 2024.xlsx,post,27302,,,,
Major_Telecom_E 513 Post v2 2023.xlsx,post,28222,,,,
Major_Telecom_E 514 Post 2024.xlsx,post,28736,,,,
Major_Telecom_E 514 Post v2 2023.xlsx,post,28156,,,,
Major_Telecom_E 515 Post 2024.xlsx,post,28744,,,,
Major_Telecom_E 515 Post v2 2023.xlsx,post,28666,,,,
Major_Telecom_E 516 Post 2024.xlsx,post,28741,,,,
Major_Telecom_E 516 Post v2 2023.xlsx,post,28234,,,,
Major_Telecom_E 517 Post 2024.xlsx,post,28732,,,,
Major_Telecom_E 517 Post v2 2023.xlsx,post,26998,,,,
Major_Telecom_E 518 Post 2024.xlsx,post,28732,,,,
Major_Telecom_E 518 Post v2 2023.xlsx,post,27852,,,,
Major_Telecom_E 519 Post 2024.xlsx,post,28716,,,,
Major_Telecom_E 520 Post 2024.xlsx,post,28721,,,,
Major_Telecom_E 520 Post v2 2023.xlsx,post,27745,,,,
Major_Telecom_E 521 Post 2024.xlsx,post,28750,,,,
Major_Telecom_E 521 Post v2 2023.xlsx,post,28463,,,,
Major_Telecom_E 522 Post 2024.xlsx,post,28750,,,,
Major_Telecom_E 522 Post v2 2023.xlsx,post,28392,,,,
Major_Telecom_E 523 Post 2024.xlsx,post,28710,,,,
Major_Telecom_E 523 Post v2 2023.xlsx,post,21310,,,,
Major_Telecom_E 524 Post 2024.xlsx,post,28705,,,,
Major_Telecom_E 524 Post v2 2023.xlsx,post,26474,,,,
Major_Telecom_E 525 Post 2024.xlsx,post,28709,,,,
Major_Telecom_E 525 Post v2 2023.xlsx,post,28339,,,,
Major_Telecom_E 526 Post 2024.xlsx,post,28709,,,,
Major_Telecom_E 526 Post v2 2023.xlsx,post,28395,,,,
511 Baseline 2.xlsx,baseline,26974,,,,
512 baseline 2.xlsx,baseline,31260,,,,
513 baseline 2 .xlsx,baseline,27522,,,,
514 baseline 2.xlsx,baseline,27402,,,,
515 baseline 2.xlsx,baseline,28547,,,,
516 baseline 2.xlsx,baseline,28382,,,,
517 baseline 2.xlsx,baseline,29991,,,,
518 baseline 2.xlsx,baseline,28578,,,,
520 Baseline 2 - no kWh data.xlsx,baseline,41234,,,,
521 Baseline 2.xlsx,baseline,31408,,,,
522 Baseline 2.xlsx,baseline,28530,,,,
523 Baseline 2.xlsx,baseline,28475,,,,
524 Baseline 2.xlsx,baseline,28363,,,,
525 Baseline 2.xlsx,baseline,28432,,,,
526 Baseline 2.xlsx,baseline,28505,,,,
Major_Telecom_E Data Tables CDD Runtimes.xlsx,unknown,407,,,,
Major_Telecom_E Data Tables CDD Runtimes_REVISED.xlsx,unknown,407,,,,
